timestamp,language,benchmark,run,total_energy_j,duration_ms,charge_before,charge_after,temp_before_c,temp_after_c,status
2025-11-24T23:42:32.005938,Cpp,FannkuchRedux,1,165.5813,54836,91,91,27.6,28.1,success
2025-11-24T23:44:17.680212,Cpp,FannkuchRedux,1,167.0384,55070,91,90,28.1,28.5,success
2025-11-24T23:46:01.844479,Cpp,FannkuchRedux,1,162.8422,54833,90,90,28.5,28.6,success
2025-11-24T23:47:44.856726,Cpp,FannkuchRedux,1,167.0352,54835,90,90,28.6,28.6,success
2025-11-24T23:49:28.129335,Cpp,FannkuchRedux,1,168.2148,54996,90,90,28.6,28.6,success
2025-11-24T23:51:11.895250,Cpp,FannkuchRedux,1,167.4528,54873,90,90,28.6,28.6,success
2025-11-24T23:52:56.549384,Cpp,FannkuchRedux,1,168.0398,55066,89,89,29.7,29.7,success
2025-11-24T23:54:40.326600,Cpp,FannkuchRedux,1,166.5743,54961,89,89,29.7,29.7,success
2025-11-24T23:56:23.489717,Cpp,FannkuchRedux,1,164.8236,54940,89,89,29.7,29.7,success
2025-11-24T23:58:08.766886,Cpp,FannkuchRedux,1,166.3667,54978,89,89,29.7,29.7,success
